Topic,Count,Name,Representation,Representative_Docs,Coherence_Score
-1,195,-1_makan gizi_layan penuh_program makan_gratis makan,"['makan gizi', 'layan penuh', 'program makan', 'gratis makan', 'satu layan', 'layan', 'makan gratis', 'pangan', 'makan', 'racun makan']","['menteri koordinator bidang pangan zulkifli hasan tutup satu layan penuh gizi satu layan penuh gizi kelola dapur program makan gizi gratis makan gizi gratis masalah susul kasus racun jumlah daerah', 'larang cucu makan makan gizi gratis sekolah cucu program makan gizi gratis arti seluruh makan gizi gratis luar biasa apa ahli gizi dapur satu layan penuh gizi racun basi ber ulat tindak', 'makan gizi gratis makan gizi gratis mkanan racun gratis kalai begini rakyat korban mending pecat pak kepala makan gizi gratis program perintah perintah tanggung jawab aneh']",
0,799,0_gratis makan_makan gratis_program makan_menu makan,"['gratis makan', 'makan gratis', 'program makan', 'menu makan', 'gratis menu', 'makan gizi', 'makan basi', 'makan', 'menu', 'nutrisi']","['perintah valuasi otal satu layan penuh gizi klb makan gizi gratis makan gizi gratis fifa senin borneo lewat cowok', 'perintah valuasi otal satu layan penuh gizi klb makan gizi gratis makan gizi gratis fifa senin borneo lewat cowok', 'gaya gaya makan gizi gratis']",0.35809227991133646
1,58,1_indonesia sekolah_nasional indonesia_papua_sekolah rakyat,"['indonesia sekolah', 'nasional indonesia', 'papua', 'sekolah rakyat', 'indonesia hadir', 'indonesia', 'sekolah daya', 'lingkung sekolah', 'sehat sekolah', 'sekolah']","['aksi tentara nasional indonesia papua jamin masyarakat lindung layan didik sehat adil', 'sekolah rakyat daya bangsa menteri koordinator daya masyarakat gus muhaimin iskandar tegas sekolah rakyat satu program prioritas', 'sekolah rakyat daya bangsa menteri koordinator daya masyarakat gus muhaimin iskandar tegas sekolah rakyat satu program prioritas']",0.2500151219474306
2,38,2_sustainable development_goals sustainable_development goals_lanjut sustainable,"['sustainable development', 'goals sustainable', 'development goals', 'lanjut sustainable', 'sustainable', 'development', 'inisiatif', 'indonesia tunjuk', 'inovasi', 'global komitmen']","['smart amil lazisnu peran strategis laz capai tuju bangun lanjut sustainable development goals sustainable development goals riri khariroh direktur eksekutif care lazisnu materi tuju kuat paham peran lembaga amil zakat', 'indonesia peran muda makin penting tuju bangun lanjut sustainable development goals sustainable development goals wacana hidup tengah masyarakat', 'bri percaya uang lanjut kunci capai tuju bangun lanjut sustainable development goals']",0.7169199200589503
3,12,3_sekolah anak_didik sehat_sekolah program_anak sekolah,"['sekolah anak', 'didik sehat', 'sekolah program', 'anak sekolah', 'sekolah', 'gizi sekolah', 'rasa manfaat', 'sejahtera keluarga', 'sehat didik', 'manfaat']","['buruh kini tenang perintah jamin lalu bpjs subsidi rumah program gizi anak sekolah', 'anak buruh tambah sehat berkat program gizi sekolah sejahtera keluarga makin jamin', 'hidup buruh makin jamin berkat bpjs subsidi rumah tingkat upah program gizi anak anak sekolah']",0.4511193786709732
4,7,4_racun program_publik_informasi_transparansi evaluasi,"['racun program', 'publik', 'informasi', 'transparansi evaluasi', 'gizi nasional', 'data', 'dasar lapor', 'duga racun', 'racun hingga', 'gratis sleman']","['badan gizi nasional gerak cepat tim khusus bentuk selidik duga racun program makan gizi gratis data klarifikasi publik informasi jelas kredibel', 'badan gizi nasional gerak cepat tim khusus bentuk selidik duga racun program makan gizi gratis data klarifikasi publik informasi jelas kredibel', 'badan gizi nasional gerak cepat tim khusus bentuk selidik duga racun program makan gizi gratis data klarifikasi publik informasi jelas kredibel']",0.5374904266969674
5,7,5_vitamin mineral_vitamin_kandung nutrisi_nutrisi,"['vitamin mineral', 'vitamin', 'kandung nutrisi', 'nutrisi', 'asupan nutrisi', 'makan sehat', 'tingkat sehat', 'sehat', 'sehat warga', 'sehat anak']","['tambah asupan gizi anak singkong rebus satu makan sehat anak singkong kandung karbohidrat vitamin mineral serat antioksidan tambah makan sehat protein lemak singkong', 'makan kak asupan vitamin protein mineral', 'asupan gizi bubur kacang hijau pilih kandung nutrisi protein nabati vitamin mineral manfaat jaga daya tahan tubuh tingkat sehat warga bina kepala lapas kelas iii mamasa hastono jelas']",0.5699646650134165
